X Y
NaN NaN 
246.9809 111.3115 
244.7111 110.4398 
249.1026 111.6323 
252.2992 112.1115 
253.5182 111.4027 
254.1779 107.0586 
255.9173 102.6724 
256.2057 102.6684 
257.2889 104.6634 
255.4437 109.9953 
253.1349 110.4959 
253.8463 108.9764 
253.3399 106.1707 
249.8838 99.79913 
248.6966 98.57262 
248.193 97.86564 
248.0204 97.66233 
248.1924 97.85869 
248.2111 97.88655 
247.7984 97.3952 
247.8192 97.37574 
247.9185 97.54731 
247.9334 97.50145 
247.8201 97.35662 
248.0909 97.50209 
248.5463 97.78923 
248.5155 97.69981 
248.519 97.70695 
250.3814 99.57377 
250.3707 99.56873 
250.7853 99.78696 
250.2873 99.5514 
250.6177 101.791 
250.6031 102.1984 
251.2166 103.7477 
251.1343 104.2886 
252.2883 109.4847 
251.6523 110.13 
252.0177 110.6794 
251.2598 111.2862 
250.87 111.9316 
250.8552 112.5243 
250.8369 112.8659 
250.7639 112.6307 
251.2906 113.3802 
250.5243 113.5263 
250.923 114.1931 
251.754 114.8673 
253.0021 115.5967 
253.2948 116.0981 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
253.3088 115.8754 
252.9655 115.7401 
250.8849 115.1596 
250.9644 114.7781 
250.9567 113.8964 
250.9983 112.6512 
251.4478 112.0297 
251.5862 110.8717 
252.7829 109.8279 
251.4206 102.869 
251.6545 100.0594 
251.3817 99.87271 
251.3387 99.86468 
251.7387 100.1944 
251.9917 100.1594 
251.3908 99.72016 
251.2723 99.68634 
251.1707 99.55018 
251.0662 99.46265 
250.8016 99.16192 
250.7344 99.10628 
250.7852 99.0788 
250.7658 99.0631 
250.7816 99.07052 
250.7816 99.07052 
251.9654 100.1351 
251.578 99.96465 
251.6298 99.98509 
251.5707 99.94283 
251.6907 100.1465 
251.566 99.94006 
251.1704 99.63733 
251.1486 99.6236 
251.1228 99.63356 
251.1297 99.63644 
251.1479 99.64777 
251.0784 99.58593 
251.3631 99.8597 
251.2168 99.55119 
251.0821 99.4586 
250.9175 99.30621 
250.9762 99.3362 
251.0212 99.5078 
251.0402 99.50039 
250.9606 99.46983 
251.001 99.49884 
251.1944 99.49747 
251.3107 99.53728 
251.365 99.5836 
252.1474 100.3298 
252.1069 100.3216 
251.8244 100.095 
251.8878 100.1442 
251.9109 100.1704 
251.7943 100.1778 
251.8066 100.1547 
251.8055 100.1407 
251.785 100.1004 
251.7943 100.1365 
251.6986 99.99819 
251.6427 100.0181 
251.9308 100.1146 
251.6833 99.91805 
250.9129 99.09096 
251.0369 99.18417 
250.7728 98.97646 
250.7361 98.9447 
250.7522 98.94852 
250.7489 98.94847 
250.7243 98.93443 
250.4108 98.82939 
250.4613 98.81783 
250.4663 98.82499 
251.4685 99.93119 
251.4701 99.98077 
251.2771 99.7629 
251.2657 99.75773 
251.2657 99.75773 
