X Y
400.9091 156.4302 
402.306 157.7445 
404.8012 159.8938 
406.7392 162.0077 
410.4051 163.7659 
412.5903 164.7925 
414.7751 165.1165 
419.1888 165.2974 
422.2189 165.801 
426.3188 166.2451 
429.7208 166.9704 
431.0855 168.7361 
434.4695 170.2521 
436.2572 172.0531 
436.7593 173.6949 
439.0053 176.0774 
437.5996 178.3583 
440.5338 182.0148 
439.9148 185.8412 
439.1327 190.3709 
439.8677 194.6896 
435.8896 198.235 
436.6472 203.43 
434.453 206.2093 
433.4207 209.4191 
429.3009 212.5701 
430.0925 216.3432 
429.2236 216.838 
429.2477 216.0402 
429.4633 214.8666 
429.687 213.5086 
430.9283 211.2907 
431.4052 207.5315 
431.9891 202.2109 
435.1591 196.8596 
434.8047 189.4778 
435.1364 182.3282 
327.5568 321.8174 
325.0963 324.855 
326.5438 325.4816 
327.7499 324.619 
326.6019 326.0291 
327.3895 325.7374 
324.985 326.402 
328.6696 323.9748 
326.125 325.0594 
325.5865 324.5507 
396.2149 188.8024 
323.8927 322.3929 
388.0114 196.5836 
384.4292 200.0966 
382.5138 203.323 
378.6949 206.3686 
374.0777 209.1953 
370.9722 213.129 
366.6731 215.2647 
364.5183 216.0806 
360.8696 217.5204 
358.6615 218.1148 
355.6285 217.8575 
354.2539 217.2605 
351.5138 214.5247 
350.0305 212.1984 
348.7552 206.7741 
346.6205 201.0018 
347.0835 195.4121 
347.4216 189.869 
347.3917 186.0792 
345.7477 182.1906 
321.0582 374.5175 
346.09 174.9996 
344.4845 172.8837 
336.0372 373.9736 
339.4426 372.4123 
340.9114 374.1248 
343.6203 373.3326 
346.248 372.1055 
351.217 371.6387 
356.5082 371.9861 
361.8921 371.9981 
366.9699 372.3533 
374.7392 371.4485 
379.6623 374.1322 
383.7151 377.9587 
331.8858 141.9135 
392.7082 378.6717 
397.0472 379.0522 
400.1001 377.9386 
404.1124 377.268 
408.9223 373.6941 
412.667 375.1266 
417.0929 375.5171 
421.6847 375.6087 
423.2809 374.9882 
425.2738 372.3618 
429.6766 368.1117 
282.2984 176.785 
278.1678 178.7582 
273.772 179.8902 
268.802 180.8628 
264.7712 182.1159 
261.4214 182.4176 
257.8003 181.9074 
255.2467 180.1505 
252.4161 177.7305 
250.1458 174.4191 
250.7286 169.9079 
249.7044 166.0872 
249.589 162.1476 
248.446 158.5977 
248.251 154.4474 
246.8593 150.9721 
245.981 147.1554 
244.7063 143.2812 
244.9012 138.9119 
242.829 135.4596 
241.8863 132.0745 
238.5584 129.0412 
238.6809 124.1076 
234.8544 120.7466 
232.2612 117.8305 
229.5383 116.3542 
227.0561 114.5953 
224.3073 114.3645 
222.7937 113.5554 
220.9943 113.0786 
220.0962 113.1359 
219.7824 114.1427 
219.9248 115.2979 
219.6662 116.8816 
219.5205 117.2287 
219.2825 117.6159 
218.1478 118.9185 
216.5552 121.0417 
214.3936 124.3131 
212.1814 129.4405 
212.1591 136.6469 
210.0663 143.983 
137.8369 227.7388 
134.939 229.5894 
132.7067 232.7708 
130.0284 237.2348 
129.9211 238.714 
127.1529 246.6108 
124.38 255.016 
204.073 188.9556 
203.6984 196.0119 
202.9145 202.2251 
201.9036 207.3884 
201.1061 211.5859 
199.951 215.38 
199.6425 219.3816 
198.3333 221.6347 
197.2772 224.2579 
195.5824 226.1333 
195.2018 229.6111 
194.0287 230.5412 
193.9797 231.087 
193.7315 230.8426 
194.3985 229.6449 
195.7475 227.4209 
198.6889 224.4523 
200.0637 220.148 
202.8216 214.8428 
206.7037 210.1296 
211.0648 206.5051 
213.7623 203.528 
216.9801 201.6777 
218.2923 200.1649 
220.082 199.0625 
222.2895 198.3498 
223.6991 198.4557 
224.4587 199.5571 
226.3692 199.9797 
226.7525 200.2228 
226.8291 201.5634 
226.8841 201.7478 
228.0051 201.8131 
228.0679 201.8428 
227.7534 200.8904 
228.5066 199.8315 
228.8221 199.587 
229.1248 200.0205 
228.9832 200.0393 
228.9146 200.0837 
228.9911 200.1636 
230.4288 199.7455 
299.1127 127.4885 
294.7668 126.0785 
290.9745 125.3434 
287.0948 126.2505 
283.8492 124.9814 
281.2509 125.1602 
278.4717 125.2275 
278.2583 125.3664 
275.6681 125.8924 
275.3948 126.9215 
275.3925 128.04 
218.1608 203.7527 
217.5517 202.9571 
218.225 202.5356 
218.9086 202.4873 
219.4432 202.4561 
219.8815 202.1364 
219.3503 202.3733 
219.1141 202.311 
218.9714 202.3615 
217.8002 202.8468 
218.18 202.8738 
218.951 202.4662 
218.7991 202.4404 
218.9786 202.2075 
218.592 202.4982 
219.4913 202.7176 
219.1955 202.8535 
219.2496 202.5075 
219.3018 202.5403 
219.2407 202.5445 
218.5237 202.4448 
218.5895 202.5466 
218.476 202.4622 
218.9415 202.5315 
219.2502 202.5879 
219.3105 202.6385 
219.4955 202.6459 
218.2428 202.6366 
218.198 202.6466 
217.9947 202.6568 
217.9976 202.6052 
218.424 202.6513 
218.6176 202.5516 
218.4716 202.6663 
218.5576 202.6102 
218.592 202.6338 
218.6071 202.6821 
218.6447 202.6756 
218.3797 202.7032 
218.0225 203.0222 
218.0558 203.1496 
217.9165 203.0516 
217.8092 203.1568 
218.0838 203.0457 
218.1234 203.1479 
218.1245 203.1145 
218.0769 203.2178 
218.4426 203.0387 
218.1696 203.1395 
218.5877 203.0222 
218.4893 203.0507 
217.5817 203.1894 
218.4882 202.8986 
218.9028 202.8239 
218.5193 202.9647 
218.2774 203.0752 
218.4028 203.1017 
218.4111 203.1818 
218.2861 203.2021 
218.0578 203.2479 
218.1199 203.217 
217.9158 203.2986 
217.8988 203.3247 
217.7712 202.9253 
218.2095 202.957 
218.5552 202.8173 
218.6663 202.6999 
219.3578 202.33 
218.6004 202.6528 
218.6948 202.8254 
218.2525 202.9471 
218.2538 203.0892 
217.6643 202.9745 
217.8595 202.8759 
218.2549 203.0736 
217.9156 202.9634 
218.4232 202.918 
217.9166 202.9513 
217.8946 203.1347 
218.1287 203.1511 
217.998 203.1417 
218.7157 202.9066 
217.9329 203.2307 
217.7604 203.2012 
217.5172 203.1668 
217.8422 203.1665 
