"animal","X","Y","frameID","quadrant"
"blue",466.6342,376.52795,396,2
"blue",466.17435,376.63745,397,2
"blue",465.40675,376.7451,398,2
"blue",465.06495,376.7783,399,2
"blue",464.9805,376.7836,400,2
"blue",464.8048,376.9126,401,2
"blue",464.6531,377.0859,402,2
"blue",464.5283,377.147,403,2
"blue",464.27295,377.215,404,2
"blue",464.06515,377.3267,405,2
"blue",463.9914,377.41685,406,2
"blue",463.86945,377.4916,407,2
"blue",463.73725,377.583,408,2
"blue",463.6736,377.64525,409,2
"blue",463.6525,377.67465,410,2
"blue",463.6043,377.6995,411,2
"blue",463.554,377.7169,412,2
"blue",463.5209,377.745,413,2
"blue",463.47455,377.8437,414,2
"blue",463.44765,377.9689,415,2
"blue",463.3363,378.19035,416,2
"blue",463.22925,378.36695,417,2
"blue",463.17655,378.4489,418,2
"blue",463.11135,378.5523,419,2
"blue",463.08855,378.5884,420,2
"blue",463.02575,378.5884,421,2
"blue",462.90375,378.5884,422,2
"blue",462.79005,378.5884,423,2
"blue",462.6846,378.5884,424,2
"blue",462.57445,378.5884,425,2
"blue",462.4524,378.5884,426,2
"blue",462.33605,378.5884,427,2
"blue",462.2857,378.60385,428,2
"blue",462.25675,378.60385,429,2
"blue",462.2102,378.60385,430,2
"blue",462.1172,378.60385,431,2
"blue",462.009,378.5884,432,2
"blue",461.9694,378.5523,433,2
"blue",461.9164,378.52175,434,2
"blue",461.82965,378.52175,435,2
"blue",461.75205,378.52175,436,2
"blue",461.7002,378.52175,437,2
"blue",461.6846,378.52175,438,2
"blue",461.4809,378.52175,439,2
"blue",461.00355,378.52175,440,2
"blue",460.50955,378.52175,441,2
"blue",459.87975,378.52175,442,2
"blue",458.90915,378.52175,443,2
"blue",458.21815,378.52175,444,2
"blue",458.0538,378.52175,445,2
"blue",457.82725,378.52175,446,2
"blue",457.619,378.52175,447,2
"blue",457.6042,378.52175,448,2
"blue",457.5906,378.52175,449,2
"blue",457.50155,378.5523,450,2
"blue",457.41845,378.5884,451,2
"blue",457.4101,378.5884,452,2
"blue",457.3903,378.5884,453,2
"blue",457.3903,378.5884,454,2
"blue",457.3903,378.5884,455,2
"blue",457.3903,378.5884,456,2
"blue",457.3903,378.5884,457,2
"blue",457.3903,378.56935,458,2
"blue",457.3903,378.54765,459,2
"blue",457.3903,378.52175,460,2
"blue",457.37425,378.50965,461,2
"blue",457.36585,378.4817,462,2
"blue",457.36125,378.41355,463,2
"blue",457.36125,378.36865,464,2
"blue",457.35245,378.3283,465,2
"blue",457.35245,378.2886,466,2
"blue",457.3453,378.28205,467,2
"blue",457.3334,378.26225,468,2
"blue",457.3222,378.2252,469,2
"blue",457.3222,378.16235,470,2
"blue",457.32075,378.11145,471,2
"blue",457.31915,378.07205,472,2
"blue",457.3148,377.97265,473,2
"blue",457.3095,377.899,474,2
"blue",457.3039,377.8939,475,2
"blue",457.29015,377.88865,476,2
"blue",457.2797,377.8556,477,2
"blue",457.2797,377.82495,478,2
"blue",457.2797,377.80915,479,2
"blue",457.2797,377.755,480,2
"blue",457.2797,377.7059,481,2
"blue",457.2797,377.6925,482,2
"blue",457.2797,377.6458,483,2
"blue",457.264,377.5892,484,2
"blue",457.264,377.57355,485,2
"blue",457.264,377.54445,486,2
"blue",457.264,377.34375,487,2
"blue",457.264,377.00765,488,2
"blue",457.2484,376.74125,489,2
"blue",457.2484,376.5483,490,2
"blue",457.2438,376.4395,491,2
"blue",457.2374,376.4169,492,2
"blue",457.21815,376.18705,493,2
"blue",457.21815,375.7864,494,2
"blue",457.21815,375.58405,495,2
"blue",457.21815,375.50165,496,2
"blue",457.21815,375.41065,497,2
"blue",457.21815,375.41065,498,2
"blue",457.21815,375.41065,499,2
"blue",457.1934,375.41065,500,2
"blue",457.1853,375.41065,501,2
"blue",457.1755,375.41065,502,2
"blue",457.15505,375.41065,503,2
"blue",457.1314,375.41065,504,2
"blue",457.1314,375.41065,505,2
"blue",457.1314,375.35295,506,2
"blue",457.1314,375.35295,507,2
"blue",457.1314,375.35295,508,2
"blue",457.1314,375.3226,509,2
"blue",457.1314,375.3003,510,2
"blue",457.1314,375.27285,511,2
"blue",457.1314,375.23095,512,2
"blue",457.1314,375.146321280439,513,2
"blue",457.1314,375.080721280439,514,2
"blue",457.1314,375.068540510484,515,2
"blue",457.1314,375.051190990857,516,2
"blue",457.1314,375.034350480373,517,2
"blue",457.1314,375.022151129419,518,2
"blue",457.1314,375.003251129419,519,2
"blue",457.1314,374.991042385263,520,2
"blue",457.1314,374.977966551427,521,2
"blue",457.1314,374.953520549818,522,2
"blue",457.1314,374.929055326487,523,2
"blue",457.1314,374.913908942833,524,2
"blue",457.1314,374.901661742884,525,2
"blue",457.1314,374.887411742884,526,2
"blue",457.1314,374.875154677864,527,2
"blue",457.1314,374.855542314517,528,2
"blue",457.1314,374.834287636653,529,2
"blue",457.1314,374.834287636653,530,2
"blue",457.16425,374.834287636653,531,2
"blue",457.1928,374.834287636653,532,2
"blue",457.21815,374.834287636653,533,2
"blue",457.28655,374.834287636653,534,2
"blue",457.97085,374.834287636653,535,2
"blue",458.8141,374.834287636653,536,2
"blue",460.243644708709,374.834287636653,537,2
"blue",461.489955248247,374.855542314517,538,2
"blue",461.489955248247,374.855542314517,539,2
"blue",461.489955248247,374.855542314517,540,2
"blue",461.489955248247,374.855542314517,541,2
"blue",461.489955248247,374.855542314517,542,2
"blue",461.489955248247,374.855542314517,543,2
"blue",461.489955248247,374.855542314517,544,2
"blue",461.489955248247,374.855542314517,545,2
"blue",461.489955248247,374.855542314517,546,2
"blue",461.489955248247,374.855542314517,547,2
"blue",461.489955248247,374.855542314517,548,2
"blue",461.489955248247,374.855542314517,549,2
"blue",461.489955248247,374.830998140624,550,2
"blue",461.489955248247,374.806433665593,551,2
"blue",461.489955248247,374.781848651347,552,2
"blue",461.489955248247,374.757242857687,553,2
"blue",461.489955248247,374.732616046071,554,2
"blue",461.489955248247,374.70796798502,555,2
"blue",461.489955248247,374.683298453715,556,2
"blue",461.489955248247,374.658607245201,557,2
"blue",461.489955248247,374.633894171594,558,2
"blue",461.489955248247,374.609159067154,559,2
"blue",461.489955248247,374.584401789474,560,2
"blue",461.489955248247,374.559622222129,561,2
"blue",461.489955248247,374.534820277868,562,2
"blue",461.489955248247,374.509995899427,563,2
"blue",461.489955248247,374.485149058839,564,2
"blue",461.489955248247,374.46027976165,565,2
"blue",461.489955248247,374.4353880546,566,2
"blue",461.489955248247,374.410474031453,567,2
"blue",461.409410916707,374.37305329873,568,2
"blue",461.328921618656,374.335599817259,569,2
"blue",461.275319944651,374.310598554958,570,2
"blue",461.221758627833,374.285576265709,571,2
"blue",461.168238557085,374.260533382544,572,2
"blue",461.114760336698,374.235470411267,573,2
"blue",461.061324298837,374.210387938772,574,2
"blue",461.007930528765,374.18528663364,575,2
"blue",460.954578891755,374.160167241648,576,2
"blue",460.901269077619,374.135030583213,577,2
"blue",460.848000671221,374.109877552054,578,2
"blue",460.794773210307,374.084709116155,579,2
"blue",460.741586206191,374.059526318989,580,2
"blue",460.688439149006,374.03433027987,581,2
"blue",460.635331509559,374.009122199422,582,2
"blue",460.582262736682,373.983903366312,583,2
"blue",460.529232259423,373.983903366312,584,2
"blue",460.476239491748,373.95867516047,585,2
"blue",460.423283833994,373.933439052201,586,2
"blue",460.37036467433,373.908196598053,587,2
"blue",460.317481390028,373.882949440801,588,2
"blue",460.264633347233,373.882949440801,589,2
"blue",460.211819901072,373.882949440801,590,2
"blue",460.159040397151,373.882949440801,591,2
"blue",460.07994543625,373.882949440801,592,2
